rating_range,mean_total_crimes
0.0,8090.303448275862
1.0,9161.08
1.5,5289.5
2.0,8559.458333333334
2.5,8567.25
2.65,8849.0
2.85,17328.0
3.0,9533.266666666666
3.1,6555.0
3.2,8372.75
3.25,8612.875
3.3,9137.5
3.4,7315.25
3.5,8594.177777777777
3.55,7364.0
3.6,10936.57142857143
3.65,9038.266666666666
3.7,11032.0
3.75,8253.309523809523
3.8,12725.333333333334
3.85,9673.92857142857
3.9,10103.6
3.95,19091.0
4.0,8580.56657223796
4.05,10272.772727272728
4.1,7935.257142857143
4.15,8351.29411764706
4.2,9042.344827586207
4.25,9100.7890625
4.3,8380.270588235295
4.35,9953.055555555555
4.4,9016.575418994413
4.45,9281.0
4.5,8904.470699432892
4.55,9134.189801699717
4.6,9400.638766519824
4.65,8733.210735586481
4.7,9037.753986332575
4.75,9255.170568561873
4.8,9454.01923076923
4.85,9566.16404886562
4.9,9165.973186119874
4.95,8908.441947565543
5.0,8428.272121436505
