rating_range,mean_total_listings_count
0.0,2.1241379310344826
1.0,83.54
1.5,14.0
2.0,359.5833333333333
2.5,14.375
2.65,19.0
2.85,1.0
3.0,204.13333333333333
3.1,1.0
3.2,21.0
3.25,5.875
3.3,11.0
3.4,10.25
3.5,239.35555555555555
3.55,14.75
3.6,31.0
3.65,15.444444444444445
3.7,27.333333333333332
3.75,35.404761904761905
3.8,7.5
3.85,63.42857142857143
3.9,28.1
3.95,5.0
4.0,157.342776203966
4.05,11.681818181818182
4.1,62.08571428571429
4.15,17.235294117647058
4.2,19.20689655172414
4.25,32.4765625
4.3,24.276470588235295
4.35,17.84722222222222
4.4,19.022346368715084
4.45,15.10344827586207
4.5,55.44234404536862
4.55,14.152974504249292
4.6,22.859030837004404
4.65,16.81113320079523
4.7,16.61731207289294
4.75,28.818283166109254
4.8,20.236013986013987
4.85,17.584642233856894
4.9,15.599369085173501
4.95,10.082397003745319
5.0,78.54757497223251
