rating_range,mean_price_range
0.0,133.58620689655172
1.0,149.0
1.5,70.0
2.0,164.58333333333334
2.5,120.0
2.65,200.0
2.85,260.0
3.0,141.2
3.1,80.0
3.2,120.0
3.25,107.5
3.3,120.0
3.4,110.0
3.5,155.77777777777777
3.55,292.5
3.6,175.71428571428572
3.65,122.88888888888889
3.7,268.3333333333333
3.75,168.57142857142858
3.8,231.66666666666666
3.85,222.14285714285714
3.9,108.0
3.95,80.0
4.0,145.6373937677054
4.05,183.63636363636363
4.1,144.0
4.15,126.17647058823529
4.2,125.51724137931035
4.25,135.9375
4.3,138.41176470588235
4.35,155.83333333333334
4.4,151.731843575419
4.45,165.43103448275863
4.5,157.73156899810965
4.55,162.54957507082153
4.6,137.1806167400881
4.65,154.67196819085487
4.7,160.8883826879271
4.75,165.35117056856188
4.8,184.77272727272728
4.85,172.11169284467715
4.9,179.77917981072557
4.95,177.07865168539325
5.0,173.97260273972603
