rating_range,mean_number_of_reviews
0.0,1.2275862068965517
1.0,1.1
1.5,2.0
2.0,1.4583333333333333
2.5,2.375
2.65,3.0
2.85,9.0
3.0,1.7866666666666666
3.1,10.0
3.2,5.75
3.25,11.25
3.3,3.125
3.4,14.75
3.5,3.2666666666666666
3.55,7.25
3.6,7.714285714285714
3.65,4.333333333333333
3.7,11.166666666666666
3.75,7.0
3.8,23.5
3.85,14.5
3.9,22.1
3.95,39.0
4.0,3.348441926345609
4.05,45.54545454545455
4.1,13.342857142857143
4.15,25.5
4.2,23.379310344827587
4.25,24.0859375
4.3,20.05294117647059
4.35,39.65277777777778
4.4,34.20670391061452
4.45,55.18103448275862
4.5,24.406427221172024
4.55,32.5014164305949
4.6,54.38325991189427
4.65,38.92842942345924
4.7,58.08883826879271
4.75,45.27870680044593
4.8,63.24650349650349
4.85,48.232111692844676
4.9,52.09305993690852
4.95,73.41947565543072
5.0,5.069603850425768
